Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Chris Johnson*+\JohnCh04,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,1,,349,396,403.4,370.9,202,1,1
2,Adrian Peterson*+\PeteAd01,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,,,290,326,335.4,304.4,143,2,2
3,Maurice Jones-Drew*\DrewMa00,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,,,273,324,330.5,297.0,126,3,3
4,Aaron Rodgers*\RodgAa00,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,,3,351,341,359.0,348.0,115,1,4
5,Ray Rice*\RiceRa00,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,,,252,327,334.6,288.1,105,4,5
6,Andre Johnson*+\JohnAn02,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,,214,314,317.4,263.4,98,1,6
7,Randy Moss\MossRa00,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,1,,206,287,291.4,245.9,91,2,7
8,Frank Gore*\GoreFr00,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,,,231,279,286.6,252.6,84,5,8
9,Thomas Jones\JoneTh00,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,,,230,238,242.0,233.0,83,6,9
10,Miles Austin*\AustMi00,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,,,198,278,281.3,237.3,82,3,10
11,Vernon Davis*\DaviVe00,SFO,TE,25,16,16,0,0,0,0,0,0,0,,0,128,78,965,12.37,13,,,175,253,255.5,213.5,76,1,11
12,DeSean Jackson*\JackDe00,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,,,189,260,267.8,229.3,74,4,12
13,Dallas Clark*+\ClarDa00,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,,,172,271,274.2,220.7,73,2,13
14,Larry Fitzgerald*\FitzLa00,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,,,187,284,287.2,235.7,71,5,14
15,Drew Brees*\BreeDr00,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.50,2,1,1,-4,-4.00,0,,1,306,297,316.4,307.9,70,2,15
16,Ricky Williams\WillRi00,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,1,,217,247,256.0,230.0,70,7,16
17,Reggie Wayne*\WaynRe00,IND,WR,31,16,16,0,1,0,0,1,0,0,,0,149,100,1264,12.64,10,,,184,284,288.4,235.4,69,6,17
18,Roddy White*\WhitRo00,ATL,WR,28,16,16,0,0,0,0,0,1,2,2.00,0,165,85,1153,13.56,11,,,182,266,269.0,223.0,66,7,18
19,Antonio Gates*\GateAn00,SDG,TE,29,16,16,0,0,0,0,0,0,0,,0,114,79,1157,14.65,8,,,164,242,245.2,202.2,65,3,19
20,Ryan Grant\GranRy00,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,,,211,235,241.5,222.5,64,8,20
21,Sidney Rice*\RiceSi01,MIN,WR,23,16,14,0,1,0,0,0,0,0,,0,121,83,1312,15.81,8,,,179,261,264.7,219.7,63,8,21
22,Brandon Marshall*\MarsBr00,DEN,WR,25,15,13,0,0,0,0,0,7,39,5.57,0,154,101,1120,11.09,10,,,176,277,279.9,226.4,60,9,22
23,Fred Jackson\JackFr02,BUF,WR,28,16,11,1,1,27,1,0,237,1062,4.48,2,61,46,371,8.07,2,,,172,214,222.4,191.4,57,10,23
24,Vincent Jackson*\JackVi00,SDG,WR,26,15,15,0,0,0,0,0,3,11,3.67,0,108,68,1167,17.16,9,,,172,240,242.8,205.8,56,11,24
25,Joseph Addai\AddaJo00,IND,RB,26,15,15,1,1,22,1,0,219,828,3.78,10,63,51,336,6.59,3,,,199,249,255.8,223.8,52,9,25
26,Steven Jackson*\JackSt00,STL,RB,26,15,15,0,0,0,0,0,324,1416,4.37,4,75,51,322,6.31,0,,,198,247,253.8,221.3,51,10,26
27,Brett Favre*\FavrBr00,MIN,QB,40,16,16,363,531,4202,33,7,9,7,0.78,0,1,1,-2,-2.00,0,,,287,286,296.6,292.1,50,3,27
28,Matt Schaub*\SchaMa00,HOU,QB,28,16,16,396,583,4770,29,15,48,57,1.19,0,0,0,0,,0,,1,285,282,301.0,296.5,48,4,28
29,Steve Smith*\SmitSt02,NYG,WR,24,16,15,0,0,0,0,0,0,0,,0,157,107,1220,11.40,7,,,164,271,274.0,217.5,48,12,29
30,Wes Welker*+\WelkWe00,NWE,WR,28,14,13,0,0,0,0,0,5,36,7.20,0,162,123,1348,10.96,4,,,162,283,287.4,221.9,47,13,30
31,Brent Celek\CeleBr00,PHI,TE,24,16,15,0,0,0,0,0,0,0,,0,112,76,971,12.78,8,,,145,221,224.1,183.1,47,4,31
32,Jonathan Stewart\StewJo00,CAR,RB,22,16,3,0,0,0,0,0,221,1133,5.13,10,26,18,139,7.72,1,,,193,208,215.7,199.2,46,11,32
33,Marques Colston\ColsMa00,NOR,WR,26,16,14,0,0,0,0,0,1,6,6.00,0,107,70,1074,15.34,9,,,162,230,234.0,195.0,46,14,33
34,Chad Johnson*\JohnCh01,CIN,,31,16,15,0,0,0,0,0,3,32,10.67,0,128,72,1047,14.54,9,,,162,232,235.9,195.9,46,15,34
35,Tony Romo*\RomoTo00,DAL,QB,29,16,16,347,550,4483,26,9,35,105,3.00,1,0,0,0,,0,,,282,276,293.8,284.8,46,5,35
36,Jamaal Charles\CharJa00,KAN,RB,23,15,10,0,0,0,0,0,190,1120,5.89,7,55,40,297,7.43,1,1,,192,234,241.7,213.7,45,12,36
37,Peyton Manning*+\MannPe00,IND,QB,33,16,16,393,571,4500,33,16,19,-13,-0.68,0,0,0,0,,0,,,279,277,296.7,292.7,43,6,37
38,Santonio Holmes\HolmSa00,PIT,WR,25,16,16,0,1,0,0,0,3,6,2.00,0,138,79,1248,15.80,5,,,155,234,237.4,194.9,40,16,38
39,Philip Rivers*\RivePh00,SDG,QB,28,16,16,317,486,4254,28,9,26,50,1.92,1,0,0,0,,0,,,275,269,284.2,278.2,39,7,39
40,Tom Brady*\BradTo00,NWE,QB,32,16,16,371,565,4398,28,13,29,44,1.52,1,0,0,0,,0,,1,274,270,288.3,283.3,38,8,40
41,Rashard Mendenhall\MendRa00,PIT,RB,22,16,12,0,0,0,0,0,242,1108,4.58,7,32,25,261,10.44,1,,,185,207,214.4,194.4,38,13,41
42,Ben Roethlisberger\RoetBe00,PIT,QB,27,15,15,337,506,4328,26,12,40,82,2.05,2,0,0,0,,0,,,273,266,284.8,278.3,37,9,42
43,Hines Ward\WardHi00,PIT,WR,33,16,16,0,0,0,0,0,0,0,,0,137,95,1167,12.28,6,,,153,246,249.7,198.2,37,17,43
44,DeAngelo Williams*\WillDe02,CAR,RB,26,13,13,0,0,0,0,0,216,1117,5.17,7,41,29,252,8.69,0,1,,181,207,214.4,192.4,34,14,44
45,Derrick Mason\MasoDe00,BAL,WR,35,16,16,0,0,0,0,0,1,2,2.00,0,134,73,1028,14.08,7,,,145,218,221.0,181.5,29,18,45
46,Steve Smith\SmitSt01,CAR,WR,30,15,15,0,0,0,0,0,5,22,4.40,0,129,65,982,15.11,7,1,,144,208,211.9,175.9,29,19,46
47,Donald Driver\DrivDo00,GNB,WR,34,16,16,0,0,0,0,0,1,13,13.00,0,113,70,1061,15.16,6,,,143,211,215.4,176.4,28,20,47
48,Cedric Benson\BensCe00,CIN,RB,27,13,13,0,0,0,0,0,301,1251,4.16,6,24,17,111,6.53,0,,,172,188,194.7,179.7,25,15,48
49,Tony Gonzalez\GonzTo00,ATL,TE,33,16,16,0,0,0,0,0,0,0,,0,134,83,867,10.45,6,,,123,206,208.7,164.2,24,5,49
50,Visanthe Shiancoe\ShiaVi00,MIN,TE,29,16,13,0,0,0,0,0,0,0,,0,79,56,566,10.11,11,,,123,179,181.6,150.6,24,6,50
51,Greg Jennings\JennGr00,GNB,WR,26,16,13,0,0,0,0,0,0,0,,0,119,68,1113,16.37,4,2,,139,207,210.3,173.3,24,21,51
52,Knowshon Moreno\MoreKn00,DEN,RB,22,16,9,0,0,0,0,0,247,947,3.83,7,41,28,213,7.61,2,,,170,194,202.0,180.0,23,16,52
53,Kellen Winslow\WinsKe01,TAM,TE,26,16,14,0,0,0,0,0,1,7,7.00,0,127,77,884,11.48,5,,,121,196,199.1,157.6,23,7,53
54,Calvin Johnson\JohnCa00,DET,WR,24,14,14,0,0,0,0,0,7,73,10.43,0,137,67,984,14.69,5,,,136,200,204.2,166.2,20,22,54
55,Matt Forte\FortMa00,CHI,RB,24,16,16,0,0,0,0,0,258,929,3.60,4,72,57,471,8.26,0,1,,166,217,226.0,188.5,19,17,55
56,Robert Meachem\MeacRo00,NOR,WR,25,16,7,0,0,0,0,0,6,82,13.67,0,64,45,722,16.04,9,,,134,177,187.4,160.9,19,23,56
57,Anquan Boldin\BoldAn00,ARI,WR,29,15,15,0,0,0,0,0,3,12,4.00,1,127,84,1024,12.19,4,,,134,215,219.1,172.6,18,24,57
58,Jason Witten*\WittJa00,DAL,TE,27,16,16,0,0,0,0,0,0,0,,0,124,94,1030,10.96,2,,,115,209,212.0,162.0,17,8,58
59,Heath Miller*\MillHe00,PIT,TE,27,16,16,0,0,0,0,0,0,0,,0,98,76,789,10.38,6,,,115,189,192.9,150.9,16,9,59
60,LaDainian Tomlinson\TomlLa00,SDG,RB,30,14,14,0,1,0,0,0,223,730,3.27,12,30,20,154,7.70,0,,,160,178,185.4,168.4,14,18,60
61,Mike Sims-Walker\WalkMi01,JAX,WR,25,15,14,0,0,0,0,0,0,0,,0,111,63,869,13.79,7,,,129,190,193.9,158.4,13,25,61
62,Percy Harvin*\HarvPe00,MIN,WR,21,15,8,0,0,0,0,0,15,135,9.00,0,91,60,790,13.17,6,,,129,200,206.0,169.5,13,26,62
63,Eli Manning\MannEl00,NYG,QB,28,16,16,317,509,4021,27,14,17,65,3.82,0,0,0,0,,0,,,247,234,257.8,248.3,11,10,63
64,Greg Olsen\OlseGr00,CHI,TE,24,16,15,0,0,0,0,0,0,0,,0,108,60,612,10.20,8,,,109,169,172.2,139.2,11,10,64
65,Pierre Thomas\ThomPi00,NOR,RB,25,14,6,0,0,0,0,0,147,793,5.39,6,45,39,302,7.74,2,,,158,195,201.5,175.0,11,19,65
66,Marion Barber\BarbMa01,DAL,RB,26,15,15,0,0,0,0,0,214,932,4.36,7,36,26,221,8.50,0,,,157,181,188.3,168.3,10,20,66
67,Terrell Owens\OwenTe00,BUF,WR,36,16,16,0,0,0,0,0,6,54,9.00,1,109,55,829,15.07,5,,,124,178,181.8,150.8,9,27,67
68,Reggie Bush\BushRe00,NOR,WR,24,14,8,0,0,0,0,0,70,390,5.57,5,68,47,335,7.13,3,,,121,164,171.5,140.0,5,28,68
69,Donovan McNabb*\McNaDo00,PHI,QB,33,14,14,267,443,3553,22,10,37,140,3.78,2,1,1,1,1.00,0,,2,240,231,252.2,240.7,4,11,69
70,Michael Turner\TurnMi00,ATL,RB,27,11,11,0,0,0,0,0,178,871,4.89,10,7,5,35,7.00,0,,,151,152,156.6,149.1,4,21,70
71,Tim Hightower\HighTi00,ARI,RB,23,16,16,0,0,0,0,0,143,598,4.18,8,80,63,428,6.79,0,,,151,209,217.1,177.1,4,22,71
72,Jerome Harrison\HarrJe00,CLE,RB,26,14,7,0,0,0,0,0,194,862,4.44,5,50,34,220,6.47,2,,,150,182,189.2,165.2,3,23,72
73,John Carlson\CarlJo00,SEA,TE,25,16,16,0,0,0,0,0,0,0,,0,83,51,574,11.25,7,,,99,150,153.4,124.9,1,11,73
74,Mike Wallace\WallMi00,PIT,WR,23,16,4,0,0,0,0,0,5,48,9.60,0,72,39,756,19.38,6,,,116,154,157.9,134.9,1,29,74
75,Zach Miller\MillZa01,OAK,TE,24,15,15,0,0,0,0,0,0,0,,0,99,66,805,12.20,3,,,99,165,167.5,131.5,,12,75
76,David Garrard*\GarrDa00,JAX,QB,31,16,16,314,516,3597,15,10,77,323,4.19,3,0,0,0,,0,1,,236,222,245.2,232.2,,12,76
77,Hakeem Nicks\NickHa01,NYG,WR,21,14,6,0,0,0,0,0,2,8,4.00,0,74,47,790,16.81,6,,,116,161,164.8,137.3,,30,77
78,Willis McGahee\McGaWi00,BAL,RB,28,16,1,0,0,0,0,0,109,544,4.99,12,22,15,85,5.67,2,,,147,161,164.4,153.4,,24,78
79,Jay Cutler\CutlJa00,CHI,QB,26,16,16,336,555,3666,27,26,40,173,4.33,1,0,0,0,,0,,2,230,221,257.4,246.9,,13,
80,Kurt Warner\WarnKu00,ARI,QB,38,15,15,339,513,3753,26,14,21,10,0.48,0,0,0,0,,0,,,227,216,238.6,230.1,,14,
81,Jason Campbell\CampJa00,WAS,QB,28,16,16,327,507,3618,20,15,46,236,5.13,1,0,0,0,,0,,,224,211,238.8,226.3,,15,
82,Kyle Orton\OrtoKy00,DEN,QB,27,16,15,336,541,3802,21,12,24,71,2.96,0,0,0,0,,0,,,219,215,232.2,227.2,,16,
83,Carson Palmer\PalmCa00,CIN,QB,30,16,16,282,466,3094,21,13,39,93,2.38,3,0,0,0,,0,1,1,213,207,226.1,220.1,,17,
84,Joe Flacco\FlacJo00,BAL,QB,24,16,16,315,499,3613,21,12,35,56,1.60,0,0,0,0,,0,,,210,202,221.1,214.1,,18,
85,Matt Ryan\RyanMa00,ATL,QB,24,14,14,263,451,2916,22,14,30,49,1.63,1,0,0,0,,0,,,188,183,202.0,196.5,,19,
86,Matt Cassel\CassMa00,KAN,QB,27,15,15,271,493,2924,16,16,50,189,3.78,0,1,0,0,,0,,1,170,156,184.9,171.9,,20,
87,Matt Hasselbeck\HassMa00,SEA,QB,34,14,14,293,488,3029,17,17,26,119,4.58,0,0,0,0,,0,,,167,156,184.6,173.1,,21,
